FIPS,NAME,UNEMPLOYMENT,ESTIMATE,PERCENT
29187,"St. Francois County, Missouri",5.4,9726,16.3
29189,"St. Louis County, Missouri",5,90126,9.2
29510,"St. Louis city, Missouri",7,73250,24.3
30013,"Cascade County, Montana",4,11333,14.2
30029,"Flathead County, Montana",2.5,11897,12.3
30031,"Gallatin County, Montana",2.2,11526,11.4
30049,"Lewis and Clark County, Montana",1.9,6858,10.4
30063,"Missoula County, Montana",3.5,17206,15.2
30111,"Yellowstone County, Montana",3.5,13581,8.8
31055,"Douglas County, Nebraska",3.9,67359,12.4
31109,"Lancaster County, Nebraska",3.8,35993,12.2
31153,"Sarpy County, Nebraska",2.9,10294,5.8
32003,"Clark County, Nevada",6.1,311352,14.6
32031,"Washoe County, Nevada",4.8,56064,12.5
33005,"Cheshire County, New Hampshire",3.1,6078,8.6
33009,"Grafton County, New Hampshire",4.8,8463,10.3
33011,"Hillsborough County, New Hampshire",4,31972,8
33013,"Merrimack County, New Hampshire",3.3,10532,7.4
33015,"Rockingham County, New Hampshire",3.6,12681,4.2
33017,"Strafford County, New Hampshire",4,9094,7.7
34001,"Atlantic County, New Jersey",8.5,37734,14.2
34003,"Bergen County, New Jersey",3.9,63789,6.9
34005,"Burlington County, New Jersey",5.1,27083,6.2
34007,"Camden County, New Jersey",6.4,60385,12
34009,"Cape May County, New Jersey",7.1,10964,11.9
34011,"Cumberland County, New Jersey",10.1,26321,18.4
34013,"Essex County, New Jersey",7.7,126492,16.3
34015,"Gloucester County, New Jersey",5.9,22402,7.8
34017,"Hudson County, New Jersey",4.5,104660,15.6
34019,"Hunterdon County, New Jersey",3.7,5431,4.5
34021,"Mercer County, New Jersey",5.6,39066,11.1
34023,"Middlesex County, New Jersey",4.8,69642,8.6
34025,"Monmouth County, New Jersey",5,43866,7.1
34027,"Morris County, New Jersey",3.7,26615,5.4
34029,"Ocean County, New Jersey",5.2,64493,11
34031,"Passaic County, New Jersey",4.8,85671,17.2
34033,"Salem County, New Jersey",5.9,7868,12.6
34035,"Somerset County, New Jersey",3.9,17318,5.2
34037,"Sussex County, New Jersey",5.3,8460,6
34039,"Union County, New Jersey",5.8,58425,10.6
34041,"Warren County, New Jersey",5.1,8708,8.3
35001,"Bernalillo County, New Mexico",5,107909,16.2
35005,"Chaves County, New Mexico",5.6,13974,22
35013,"Do?a Ana County, New Mexico",8.2,53719,25.6
35025,"Lea County, New Mexico",6.8,12179,18
35031,"McKinley County, New Mexico",14.6,25540,34.4
35035,"Otero County, New Mexico",9.2,12945,20.5
35043,"Sandoval County, New Mexico",6.1,20441,14.5
35045,"San Juan County, New Mexico",8.8,19749,17.4
35049,"Santa Fe County, New Mexico",4.3,20463,14
35061,"Valencia County, New Mexico",6.7,13746,18.6
36001,"Albany County, New York",4.7,35585,12.1
36005,"Bronx County, New York",10.9,405516,28.6
36007,"Broome County, New York",7.1,30417,16.5
36009,"Cattaraugus County, New York",5.5,11014,14.6
36011,"Cayuga County, New York",4.2,9236,12.5
36013,"Chautauqua County, New York",5.9,23921,19.2
36015,"Chemung County, New York",6,12390,15.2
36019,"Clinton County, New York",3.8,10701,14.4
36027,"Dutchess County, New York",4.2,25588,9.2
36029,"Erie County, New York",4.6,126912,14.2
36045,"Jefferson County, New York",5.4,16468,15.3
36047,"Kings County, New York",6.4,535092,20.6
36051,"Livingston County, New York",4.6,8072,13.9
36053,"Madison County, New York",3.3,7421,11.1
36055,"Monroe County, New York",5.5,106742,14.7
36059,"Nassau County, New York",3.4,82192,6.1
36061,"New York County, New York",5.4,274651,17.2
36063,"Niagara County, New York",4.9,26152,12.6
36065,"Oneida County, New York",4.5,35553,16.3
36067,"Onondaga County, New York",6,65822,14.6
36069,"Ontario County, New York",3.3,10240,9.6
36071,"Orange County, New York",4.5,46624,12.6
36075,"Oswego County, New York",7.3,19549,17.2
36079,"Putnam County, New York",5.1,5844,6
36081,"Queens County, New York",5.2,307866,13.3
36083,"Rensselaer County, New York",5,17978,11.6
36085,"Richmond County, New York",4.3,62030,13.2
36087,"Rockland County, New York",4.6,46260,14.4
36089,"St. Lawrence County, New York",6.6,17225,17.5
36091,"Saratoga County, New York",3,14094,6.3
36093,"Schenectady County, New York",10.3,17158,11.4
36101,"Steuben County, New York",5.7,12546,13.2
36103,"Suffolk County, New York",4,111341,7.6
36105,"Sullivan County, New York",10.4,12240,16.9
36109,"Tompkins County, New York",3.3,17022,18.5
36111,"Ulster County, New York",5.3,23815,13.9
36113,"Warren County, New York",4.4,7479,11.7
36117,"Wayne County, New York",4.6,9296,10.4
36119,"Westchester County, New York",5.1,95327,10
37001,"Alamance County, North Carolina",4.9,25014,16.1
37019,"Brunswick County, North Carolina",5.8,17406,13.8
37021,"Buncombe County, North Carolina",2.9,33631,13.5
37023,"Burke County, North Carolina",5.6,15310,17.7
37025,"Cabarrus County, North Carolina",5,21980,11
37027,"Caldwell County, North Carolina",4.3,13697,17.1
37031,"Carteret County, North Carolina",4.1,8321,12.3
37035,"Catawba County, North Carolina",6.5,19537,12.7
37037,"Chatham County, North Carolina",-1,8384,11.7
37045,"Cleveland County, North Carolina",5.6,19594,20.6
37049,"Craven County, North Carolina",7.1,15047,15.3
37051,"Cumberland County, North Carolina",7.7,59570,18.8
37057,"Davidson County, North Carolina",6.9,25150,15.4
37063,"Durham County, North Carolina",4.8,47269,16.1
37067,"Forsyth County, North Carolina",4.6,62994,17.5
37069,"Franklin County, North Carolina",6.1,9624,15.3
37071,"Gaston County, North Carolina",6,33562,15.7
37081,"Guilford County, North Carolina",6,92205,18.3
37085,"Harnett County, North Carolina",7.4,20400,16.1
37089,"Henderson County, North Carolina",3.2,13707,12.2
37097,"Iredell County, North Carolina",4.7,18166,10.6
37101,"Johnston County, North Carolina",4.4,25065,13.2
37109,"Lincoln County, North Carolina",4,10179,12.7
37119,"Mecklenburg County, North Carolina",4.2,127889,12.3
37125,"Moore County, North Carolina",4.8,10766,11.4
37127,"Nash County, North Carolina",4.8,15151,16.5
37129,"New Hanover County, North Carolina",4.7,37472,17.3
37133,"Onslow County, North Carolina",8.2,23670,13.7
37135,"Orange County, North Carolina",3.1,17049,12.8
37147,"Pitt County, North Carolina",7.5,36594,21.5
37151,"Randolph County, North Carolina",5.6,20481,14.4
37155,"Robeson County, North Carolina",6.6,35835,27.8
37157,"Rockingham County, North Carolina",4.9,16352,18.1
37159,"Rowan County, North Carolina",6.7,22283,16.5
37161,"Rutherford County, North Carolina",-1,12096,18.6
37171,"Surry County, North Carolina",3.9,12102,17
37179,"Union County, North Carolina",3.9,20266,9
37183,"Wake County, North Carolina",3.5,94001,9.2
37191,"Wayne County, North Carolina",6.1,24889,20.6
37193,"Wilkes County, North Carolina",-1,11378,16.8
37195,"Wilson County, North Carolina",10,17798,22.3
38015,"Burleigh County, North Dakota",1.5,6505,7.2
38017,"Cass County, North Dakota",2.8,18151,10.7
38035,"Grand Forks County, North Dakota",4.9,9318,13.9
38101,"Ward County, North Dakota",4.7,5903,8.8
39003,"Allen County, Ohio",5.5,15101,15.5
39007,"Ashtabula County, Ohio",7.5,17202,18.2
39009,"Athens County, Ohio",6,16044,28.8
39013,"Belmont County, Ohio",3.9,10135,15.7
39017,"Butler County, Ohio",4.3,45165,12.4
39023,"Clark County, Ohio",6.9,20643,15.7
39025,"Clermont County, Ohio",4.2,21281,10.6
39029,"Columbiana County, Ohio",5.8,17130,17.2
